trial_index,condition,trial_type,category,pair,left_image,right_image,correct_response,randomize_lr
1,3,identity,bottleopener,bottleopener1_vs_bottleopener1,stimuli/images/identity/bottleopener1.png,stimuli/images/identity/bottleopener1.png,same,False
2,3,category,plate,plate2_plate4,stimuli/images/category/plate2.png,stimuli/images/category/plate4.png,different,True
3,3,identity,hotairballoon,hotairballoon1_vs_hotairballoon1,stimuli/images/identity/hotairballoon1.png,stimuli/images/identity/hotairballoon1.png,same,False
4,3,identity,barrel,barrel1_vs_barrel1,stimuli/images/identity/barrel1.png,stimuli/images/identity/barrel1.png,same,False
5,3,identity,ladder,ladder1_vs_ladder1,stimuli/images/identity/ladder1.png,stimuli/images/identity/ladder1.png,same,False
6,3,category,starfish,starfish1_starfish4,stimuli/images/category/starfish1.png,stimuli/images/category/starfish4.png,different,True
7,3,category,plate,plate2_plate3,stimuli/images/category/plate2.png,stimuli/images/category/plate3.png,different,True
8,3,identity,hotairballoon,hotairballoon1_vs_hotairballoon1,stimuli/images/identity/hotairballoon1.png,stimuli/images/identity/hotairballoon1.png,same,False
9,3,category,starfish,starfish3_starfish4,stimuli/images/category/starfish3.png,stimuli/images/category/starfish4.png,different,True
10,3,identity,pie,pie1_vs_pie1,stimuli/images/identity/pie1.png,stimuli/images/identity/pie1.png,same,False
11,3,category,starfish,starfish1_starfish4,stimuli/images/category/starfish1.png,stimuli/images/category/starfish4.png,different,True
12,3,category,starfish,starfish1_starfish4,stimuli/images/category/starfish1.png,stimuli/images/category/starfish4.png,different,True
13,3,category,starfish,starfish3_starfish4,stimuli/images/category/starfish3.png,stimuli/images/category/starfish4.png,different,True
14,3,category,plate,plate1_plate3,stimuli/images/category/plate1.png,stimuli/images/category/plate3.png,different,True
15,3,identity,pill,pill1_vs_pill1,stimuli/images/identity/pill1.png,stimuli/images/identity/pill1.png,same,False
16,3,identity,fishingrod,fishingrod1_vs_fishingrod1,stimuli/images/identity/fishingrod1.png,stimuli/images/identity/fishingrod1.png,same,False
17,3,identity,measuringtape,measuringtape1_vs_measuringtape1,stimuli/images/identity/measuringtape1.png,stimuli/images/identity/measuringtape1.png,same,False
18,3,category,plate,plate3_plate4,stimuli/images/category/plate3.png,stimuli/images/category/plate4.png,different,True
19,3,category,plate,plate1_plate2,stimuli/images/category/plate1.png,stimuli/images/category/plate2.png,different,True
20,3,identity,ladder,ladder1_vs_ladder1,stimuli/images/identity/ladder1.png,stimuli/images/identity/ladder1.png,same,False
21,3,category,plate,plate1_plate2,stimuli/images/category/plate1.png,stimuli/images/category/plate2.png,different,True
22,3,category,starfish,starfish2_starfish3,stimuli/images/category/starfish2.png,stimuli/images/category/starfish3.png,different,True
23,3,identity,fishingrod,fishingrod1_vs_fishingrod1,stimuli/images/identity/fishingrod1.png,stimuli/images/identity/fishingrod1.png,same,False
24,3,category,plate,plate1_plate2,stimuli/images/category/plate1.png,stimuli/images/category/plate2.png,different,True
25,3,identity,ladder,ladder1_vs_ladder1,stimuli/images/identity/ladder1.png,stimuli/images/identity/ladder1.png,same,False
26,3,category,starfish,starfish2_starfish3,stimuli/images/category/starfish2.png,stimuli/images/category/starfish3.png,different,True
27,3,category,plate,plate3_plate4,stimuli/images/category/plate3.png,stimuli/images/category/plate4.png,different,True
28,3,category,plate,plate1_plate3,stimuli/images/category/plate1.png,stimuli/images/category/plate3.png,different,True
29,3,category,plate,plate1_plate2,stimuli/images/category/plate1.png,stimuli/images/category/plate2.png,different,True
