trial_index,condition,trial_type,category,pair,left_image,right_image,correct_response,randomize_lr
1,1,category,clock,clock1_clock4,images/category/clock1.png,images/category/clock4.png,different,True
2,1,identity,handmirror,handmirror1_vs_handmirror1,images/identity/handmirror1.png,images/identity/handmirror1.png,same,False
3,1,identity,bottleopener,bottleopener1_vs_bottleopener1,images/identity/bottleopener1.png,images/identity/bottleopener1.png,same,False
4,1,category,candybar,candybar3_candybar4,images/category/candybar3.png,images/category/candybar4.png,different,True
5,1,identity,bottleopener,bottleopener1_vs_bottleopener1,images/identity/bottleopener1.png,images/identity/bottleopener1.png,same,False
6,1,category,clock,clock2_clock3,images/category/clock2.png,images/category/clock3.png,different,True
7,1,category,clock,clock1_clock2,images/category/clock1.png,images/category/clock2.png,different,True
8,1,category,candybar,candybar3_candybar4,images/category/candybar3.png,images/category/candybar4.png,different,True
9,1,category,candybar,candybar1_candybar4,images/category/candybar1.png,images/category/candybar4.png,different,True
10,1,identity,fishingrod,fishingrod1_vs_fishingrod1,images/identity/fishingrod1.png,images/identity/fishingrod1.png,same,False
11,1,category,candybar,candybar1_candybar4,images/category/candybar1.png,images/category/candybar4.png,different,True
12,1,identity,hotairballoon,hotairballoon1_vs_hotairballoon1,images/identity/hotairballoon1.png,images/identity/hotairballoon1.png,same,False
13,1,identity,fridge,fridge1_vs_fridge1,images/identity/fridge1.png,images/identity/fridge1.png,same,False
14,1,identity,barrel,barrel1_vs_barrel1,images/identity/barrel1.png,images/identity/barrel1.png,same,False
15,1,category,candybar,candybar2_candybar4,images/category/candybar2.png,images/category/candybar4.png,different,True
16,1,category,clock,clock1_clock2,images/category/clock1.png,images/category/clock2.png,different,True
17,1,category,clock,clock2_clock3,images/category/clock2.png,images/category/clock3.png,different,True
18,1,category,clock,clock2_clock3,images/category/clock2.png,images/category/clock3.png,different,True
19,1,category,clock,clock2_clock4,images/category/clock2.png,images/category/clock4.png,different,True
20,1,identity,ladder,ladder1_vs_ladder1,images/identity/ladder1.png,images/identity/ladder1.png,same,False
21,1,category,clock,clock1_clock3,images/category/clock1.png,images/category/clock3.png,different,True
22,1,category,clock,clock1_clock3,images/category/clock1.png,images/category/clock3.png,different,True
23,1,identity,hotairballoon,hotairballoon1_vs_hotairballoon1,images/identity/hotairballoon1.png,images/identity/hotairballoon1.png,same,False
24,1,identity,fridge,fridge1_vs_fridge1,images/identity/fridge1.png,images/identity/fridge1.png,same,False
25,1,identity,ladder,ladder1_vs_ladder1,images/identity/ladder1.png,images/identity/ladder1.png,same,False
26,1,identity,measuringtape,measuringtape1_vs_measuringtape1,images/identity/measuringtape1.png,images/identity/measuringtape1.png,same,False
27,1,category,clock,clock3_clock4,images/category/clock3.png,images/category/clock4.png,different,True
28,1,category,clock,clock3_clock4,images/category/clock3.png,images/category/clock4.png,different,True
29,1,identity,ladder,ladder1_vs_ladder1,images/identity/ladder1.png,images/identity/ladder1.png,same,False
30,1,identity,measuringtape,measuringtape1_vs_measuringtape1,images/identity/measuringtape1.png,images/identity/measuringtape1.png,same,False
31,1,category,clock,clock3_clock4,images/category/clock3.png,images/category/clock4.png,different,True
32,1,category,clock,clock2_clock4,images/category/clock2.png,images/category/clock4.png,different,True
33,1,identity,pie,pie1_vs_pie1,images/identity/pie1.png,images/identity/pie1.png,same,False
34,1,category,candybar,candybar2_candybar4,images/category/candybar2.png,images/category/candybar4.png,different,True
35,1,category,candybar,candybar1_candybar3,images/category/candybar1.png,images/category/candybar3.png,different,True
36,1,category,clock,clock1_clock2,images/category/clock1.png,images/category/clock2.png,different,True
37,1,identity,pill,pill1_vs_pill1,images/identity/pill1.png,images/identity/pill1.png,same,False
38,1,identity,pie,pie1_vs_pie1,images/identity/pie1.png,images/identity/pie1.png,same,False
39,1,identity,barrel,barrel1_vs_barrel1,images/identity/barrel1.png,images/identity/barrel1.png,same,False
40,1,category,candybar,candybar2_candybar3,images/category/candybar2.png,images/category/candybar3.png,different,True
41,1,identity,fishingrod,fishingrod1_vs_fishingrod1,images/identity/fishingrod1.png,images/identity/fishingrod1.png,same,False
42,1,identity,pie,pie1_vs_pie1,images/identity/pie1.png,images/identity/pie1.png,same,False
43,1,category,candybar,candybar2_candybar4,images/category/candybar2.png,images/category/candybar4.png,different,True
44,1,category,candybar,candybar2_candybar3,images/category/candybar2.png,images/category/candybar3.png,different,True
45,1,category,candybar,candybar2_candybar3,images/category/candybar2.png,images/category/candybar3.png,different,True
46,1,category,candybar,candybar3_candybar4,images/category/candybar3.png,images/category/candybar4.png,different,True
47,1,category,candybar,candybar1_candybar4,images/category/candybar1.png,images/category/candybar4.png,different,True
48,1,identity,handmirror,handmirror1_vs_handmirror1,images/identity/handmirror1.png,images/identity/handmirror1.png,same,False
49,1,category,candybar,candybar3_candybar4,images/category/candybar3.png,images/category/candybar4.png,different,True
50,1,identity,hotairballoon,hotairballoon1_vs_hotairballoon1,images/identity/hotairballoon1.png,images/identity/hotairballoon1.png,same,False
51,1,category,clock,clock1_clock3,images/category/clock1.png,images/category/clock3.png,different,True
52,1,category,clock,clock1_clock2,images/category/clock1.png,images/category/clock2.png,different,True
53,1,identity,pill,pill1_vs_pill1,images/identity/pill1.png,images/identity/pill1.png,same,False
54,1,category,clock,clock1_clock3,images/category/clock1.png,images/category/clock3.png,different,True
55,1,category,candybar,candybar1_candybar2,images/category/candybar1.png,images/category/candybar2.png,different,True
56,1,identity,barrel,barrel1_vs_barrel1,images/identity/barrel1.png,images/identity/barrel1.png,same,False
57,1,category,candybar,candybar1_candybar4,images/category/candybar1.png,images/category/candybar4.png,different,True
58,1,category,candybar,candybar3_candybar4,images/category/candybar3.png,images/category/candybar4.png,different,True
59,1,identity,pie,pie1_vs_pie1,images/identity/pie1.png,images/identity/pie1.png,same,False
60,1,identity,handmirror,handmirror1_vs_handmirror1,images/identity/handmirror1.png,images/identity/handmirror1.png,same,False
61,1,category,clock,clock1_clock2,images/category/clock1.png,images/category/clock2.png,different,True
62,1,identity,bottleopener,bottleopener1_vs_bottleopener1,images/identity/bottleopener1.png,images/identity/bottleopener1.png,same,False
63,1,category,clock,clock2_clock3,images/category/clock2.png,images/category/clock3.png,different,True
64,1,identity,pill,pill1_vs_pill1,images/identity/pill1.png,images/identity/pill1.png,same,False
65,1,identity,ladder,ladder1_vs_ladder1,images/identity/ladder1.png,images/identity/ladder1.png,same,False
66,1,category,candybar,candybar1_candybar3,images/category/candybar1.png,images/category/candybar3.png,different,True
67,1,category,candybar,candybar3_candybar4,images/category/candybar3.png,images/category/candybar4.png,different,True
68,1,identity,fishingrod,fishingrod1_vs_fishingrod1,images/identity/fishingrod1.png,images/identity/fishingrod1.png,same,False
