trial_type,category,pair,left_image,right_image,correct_response,randomize_lr
category,candybar,candybar1_candybar2,stimuli/images/category/candybar1.png,stimuli/images/category/candybar2.png,different,True
category,candybar,candybar1_candybar2,stimuli/images/category/candybar1.png,stimuli/images/category/candybar2.png,different,True
category,candybar,candybar1_candybar2,stimuli/images/category/candybar1.png,stimuli/images/category/candybar2.png,different,True
category,candybar,candybar1_candybar2,stimuli/images/category/candybar1.png,stimuli/images/category/candybar2.png,different,True
category,candybar,candybar1_candybar2,stimuli/images/category/candybar1.png,stimuli/images/category/candybar2.png,different,True
category,candybar,candybar1_candybar2,stimuli/images/category/candybar1.png,stimuli/images/category/candybar2.png,different,True
category,candybar,candybar1_candybar2,stimuli/images/category/candybar1.png,stimuli/images/category/candybar2.png,different,True
category,candybar,candybar1_candybar2,stimuli/images/category/candybar1.png,stimuli/images/category/candybar2.png,different,True
category,candybar,candybar1_candybar3,stimuli/images/category/candybar1.png,stimuli/images/category/candybar3.png,different,True
category,candybar,candybar1_candybar3,stimuli/images/category/candybar1.png,stimuli/images/category/candybar3.png,different,True
category,candybar,candybar1_candybar3,stimuli/images/category/candybar1.png,stimuli/images/category/candybar3.png,different,True
category,candybar,candybar1_candybar3,stimuli/images/category/candybar1.png,stimuli/images/category/candybar3.png,different,True
category,candybar,candybar1_candybar3,stimuli/images/category/candybar1.png,stimuli/images/category/candybar3.png,different,True
category,candybar,candybar1_candybar3,stimuli/images/category/candybar1.png,stimuli/images/category/candybar3.png,different,True
category,candybar,candybar1_candybar3,stimuli/images/category/candybar1.png,stimuli/images/category/candybar3.png,different,True
category,candybar,candybar1_candybar3,stimuli/images/category/candybar1.png,stimuli/images/category/candybar3.png,different,True
category,candybar,candybar1_candybar4,stimuli/images/category/candybar1.png,stimuli/images/category/candybar4.png,different,True
category,candybar,candybar1_candybar4,stimuli/images/category/candybar1.png,stimuli/images/category/candybar4.png,different,True
category,candybar,candybar1_candybar4,stimuli/images/category/candybar1.png,stimuli/images/category/candybar4.png,different,True
category,candybar,candybar1_candybar4,stimuli/images/category/candybar1.png,stimuli/images/category/candybar4.png,different,True
category,candybar,candybar1_candybar4,stimuli/images/category/candybar1.png,stimuli/images/category/candybar4.png,different,True
category,candybar,candybar1_candybar4,stimuli/images/category/candybar1.png,stimuli/images/category/candybar4.png,different,True
category,candybar,candybar1_candybar4,stimuli/images/category/candybar1.png,stimuli/images/category/candybar4.png,different,True
category,candybar,candybar1_candybar4,stimuli/images/category/candybar1.png,stimuli/images/category/candybar4.png,different,True
category,candybar,candybar2_candybar3,stimuli/images/category/candybar2.png,stimuli/images/category/candybar3.png,different,True
