trial_index,condition,trial_type,category,pair,left_image,right_image,correct_response,randomize_lr
1,4,identity,hotairballoon,hotairballoon1_vs_hotairballoon1,images/identity/hotairballoon1.png,images/identity/hotairballoon1.png,same,False
2,4,identity,barrel,barrel1_vs_barrel1,images/identity/barrel1.png,images/identity/barrel1.png,same,False
3,4,category,tire,tire3_tire4,images/category/tire3.png,images/category/tire4.png,different,True
4,4,category,tweezers,tweezers2_tweezers4,images/category/tweezers2.png,images/category/tweezers4.png,different,True
5,4,category,tweezers,tweezers1_tweezers3,images/category/tweezers1.png,images/category/tweezers3.png,different,True
6,4,category,tweezers,tweezers2_tweezers4,images/category/tweezers2.png,images/category/tweezers4.png,different,True
7,4,category,tweezers,tweezers2_tweezers3,images/category/tweezers2.png,images/category/tweezers3.png,different,True
8,4,category,tire,tire3_tire4,images/category/tire3.png,images/category/tire4.png,different,True
9,4,category,tire,tire1_tire3,images/category/tire1.png,images/category/tire3.png,different,True
10,4,identity,hotairballoon,hotairballoon1_vs_hotairballoon1,images/identity/hotairballoon1.png,images/identity/hotairballoon1.png,same,False
11,4,category,tire,tire2_tire4,images/category/tire2.png,images/category/tire4.png,different,True
12,4,identity,bottleopener,bottleopener1_vs_bottleopener1,images/identity/bottleopener1.png,images/identity/bottleopener1.png,same,False
13,4,category,tire,tire3_tire4,images/category/tire3.png,images/category/tire4.png,different,True
14,4,category,tire,tire3_tire4,images/category/tire3.png,images/category/tire4.png,different,True
15,4,category,tweezers,tweezers1_tweezers4,images/category/tweezers1.png,images/category/tweezers4.png,different,True
16,4,identity,fishingrod,fishingrod1_vs_fishingrod1,images/identity/fishingrod1.png,images/identity/fishingrod1.png,same,False
17,4,category,tire,tire1_tire2,images/category/tire1.png,images/category/tire2.png,different,True
18,4,identity,pie,pie1_vs_pie1,images/identity/pie1.png,images/identity/pie1.png,same,False
19,4,identity,measuringtape,measuringtape1_vs_measuringtape1,images/identity/measuringtape1.png,images/identity/measuringtape1.png,same,False
20,4,category,tire,tire2_tire4,images/category/tire2.png,images/category/tire4.png,different,True
21,4,identity,pill,pill1_vs_pill1,images/identity/pill1.png,images/identity/pill1.png,same,False
22,4,identity,bottleopener,bottleopener1_vs_bottleopener1,images/identity/bottleopener1.png,images/identity/bottleopener1.png,same,False
23,4,category,tweezers,tweezers2_tweezers4,images/category/tweezers2.png,images/category/tweezers4.png,different,True
24,4,category,tire,tire1_tire2,images/category/tire1.png,images/category/tire2.png,different,True
25,4,identity,handmirror,handmirror1_vs_handmirror1,images/identity/handmirror1.png,images/identity/handmirror1.png,same,False
26,4,category,tweezers,tweezers1_tweezers2,images/category/tweezers1.png,images/category/tweezers2.png,different,True
27,4,category,tweezers,tweezers3_tweezers4,images/category/tweezers3.png,images/category/tweezers4.png,different,True
28,4,category,tweezers,tweezers1_tweezers3,images/category/tweezers1.png,images/category/tweezers3.png,different,True
29,4,category,tweezers,tweezers3_tweezers4,images/category/tweezers3.png,images/category/tweezers4.png,different,True
30,4,category,tire,tire2_tire3,images/category/tire2.png,images/category/tire3.png,different,True
31,4,identity,ladder,ladder1_vs_ladder1,images/identity/ladder1.png,images/identity/ladder1.png,same,False
32,4,identity,pill,pill1_vs_pill1,images/identity/pill1.png,images/identity/pill1.png,same,False
33,4,identity,bottleopener,bottleopener1_vs_bottleopener1,images/identity/bottleopener1.png,images/identity/bottleopener1.png,same,False
34,4,identity,fishingrod,fishingrod1_vs_fishingrod1,images/identity/fishingrod1.png,images/identity/fishingrod1.png,same,False
35,4,identity,pill,pill1_vs_pill1,images/identity/pill1.png,images/identity/pill1.png,same,False
36,4,identity,fishingrod,fishingrod1_vs_fishingrod1,images/identity/fishingrod1.png,images/identity/fishingrod1.png,same,False
37,4,identity,barrel,barrel1_vs_barrel1,images/identity/barrel1.png,images/identity/barrel1.png,same,False
38,4,category,tweezers,tweezers2_tweezers3,images/category/tweezers2.png,images/category/tweezers3.png,different,True
39,4,category,tire,tire1_tire3,images/category/tire1.png,images/category/tire3.png,different,True
40,4,category,tire,tire3_tire4,images/category/tire3.png,images/category/tire4.png,different,True
